,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
489,zanmlakar,734,1548,319,1800,2927,1221,NL
490,nihar53,333,1457,259,1504,462,1281,IN
491,ritvik2013,769,1463,707,1601,177,1144,US
492,jnarula,271,1480,822,1761,443,1410,CA
493,strangify,2284,1593,3193,1658,3007,1562,UZ
494,victoriabitterthirst,333,1485,325,1683,440,1412,AU
495,whomstdid,1116,1582,187,1588,1537,1686,FI
496,pujari12345,750,1455,156,1620,467,1561,IN
497,cheese220,1626,1514,1155,1680,125,1250,RO
498,silentsensei,327,1411,109,1578,611,1321,US
499,blackpony,3028,1531,322,1800,103123,1831,JM
500,germanovtimofey,2503,1554,756,1649,464,1458,RU
501,forrest2020,8803,1592,290,1632,7400,1520,IN
502,typp,377,1513,245,1639,257,1474,DE
503,kushaggarwal,1751,1589,178,1639,2310,1649,IN
504,ricmg,3306,1520,4845,1689,279,942,DE
505,ses747,323,1468,325,1858,2834,1413,UK
506,uny1me,271,1428,438,1611,337,1006,NG
507,cyansushi,507,1528,245,1869,2707,1323,AQ
508,williams8,760,1594,112,1515,320,1593,GB
509,sourav199,1338,1441,1271,1719,753,1247,IN
510,turd,1996,1585,846,1688,1758,1443,US
511,karnal,1417,1596,1063,1717,774,1470,IN
512,sliwek,808,1523,265,1646,159,1341,PL
